day,date,time,format,pillar,account,title,cover_hook,description,hashtags,images,image_count,status,note_url,folder,logged_at
1,2026-05-24,11:04,图文合集,璞玉,DNJ 被低估的天赋,有些人不是没天赋，只是没被看见,你不是不够好｜你只是没被看见,"开通这个号，是想说一件事：

这世界上有太多人，明明很有实力，
却卡在「投了几十份简历没人回」的循环里。

不是你不够好。
是你被埋在了一堆 CV 里，没人翻到你那一页。

我们相信——
每个人都是一颗钻石，只是还没遇见对的珠宝匠。

这里之后会聊：求职的扎心真相、面试谈薪干货、还有那些被低估的人后来怎么发光的故事。

如果你也曾觉得「我明明可以，却没机会」——
关注我，这个号为你而开。💎",#被低估的天赋 #每个人都是一颗钻石 #璞玉计划 #你不是不行只是没被看见 #职场 #成长 #马来西亚 #DNJ #自我成长,"dnj-day1-1.png, dnj-day1-2.png, dnj-day1-3.png, dnj-day1-4.png, dnj-day1-5.png",5,live,,posts/day01,2026-05-24T23:59:16
2,2026-05-24,12:55,图文合集,品牌,DNJ 被低估的天赋,为什么我做了 DNJ 这件事,为什么会有 DNJ？,"做招聘这行久了，我看过太多两边的委屈：

求职的人——海投100份，回复不到3个，开始怀疑自己。
招人的公司——收到200份简历，翻到眼花，还是没找到对的人。

中间隔着的，从来不是「人不够」，
而是没有人帮对的人和对的机会，精准对上。

所以有了 DNJ（Diamond & Jeweler）。
名字的意思很简单：
你是钻石，我们帮你找到能让你发光的珠宝匠。

不用海投，AI 帮你精准匹配最合适的 3 个机会，你来选。💎

关注我，下一颗被看见的钻石，可能就是你。",#被低估的天赋 #每个人都是一颗钻石 #璞玉计划 #你不是不行只是没被看见 #职场 #成长 #马来西亚 #DNJ #求职平台,"dnj-day2-1.png, dnj-day2-2.png, dnj-day2-3.png, dnj-day2-4.png, dnj-day2-5.png",5,live,,posts/day02,2026-05-24T23:59:17
10,2026-05-25,23:56,图文合集,干货,DNJ 被低估的天赋,3个让你「隐形」的简历错误,这3个错误｜让 HR 直接划走你,"你的简历不是不好，是这3个错误把你藏起来了👇（先收藏）

❌ 错误1：只写「职责」，不写「成果」
　「负责社媒运营」→ 没人记得住
　✅「3个月把粉丝从0做到1万」→ HR 眼睛一亮

❌ 错误2：一份简历投所有岗位
　✅ 针对每个岗位，改前3行最关键的描述

❌ 错误3：全是形容词，没有证据
　「积极主动、抗压能力强」=废话
　✅ 用数字和事例证明，别用形容词喊口号

改完这3点，再让 AI 帮你匹配对的岗位，效率翻倍。💎",#求职干货 #面试技巧 #简历模板 #面试 #简历 #职场干货 #谈薪 #马来西亚求职 #DNJ,"dnj-day10-1.png, dnj-day10-2.png, dnj-day10-3.png, dnj-day10-4.png, dnj-day10-5.png",5,live,,posts/day10,2026-05-26T00:06:00
16,2026-05-26,00:04,图文合集,真相,DNJ 被低估的天赋,没人敢说的招聘真相,没人敢明说的｜招聘真相 ①②③,"入行越久越想说的大实话👇（先收藏，慢慢品）

真相①：自信 > 能力。会表现的人更容易拿 offer。
真相②：团队里最能打的，往往是最安静的那个。
真相③：「回去等通知」九成是委婉的拒绝。

这些不该是常态。
所以我们想换一种方式——看契合，不看声量。💎",#招聘 #职场真相 #HR #面试 #职场 #大马招聘 #被低估的天赋 #每个人都是一颗钻石 #DNJ,"dnj-day16-1.png, dnj-day16-2.png, dnj-day16-3.png, dnj-day16-4.png, dnj-day16-5.png",5,live,,posts/day16,2026-05-26T00:06:00
day29,,,图文,干货,DNJ 被低估的天赋,5个真的有用的面试回答,面试官最爱听的｜5个回答（收藏）,"下次面试前，先把这5个回答背下来👇（建议收藏）

1️⃣「请自我介绍」
→ 现在做什么 → 过去亮点 → 为什么是这个岗位。90秒内。

2️⃣「你的缺点是什么」
→ 真实的小缺点 + 你正在怎么改。别说「我太追求完美」。

3️⃣「为什么离职」
→ 聊向往的方向，不吐槽前东家。

4️⃣「你的期望薪资」
→ 先反问职位预算区间，别自己先报数字。

5️⃣「你有什么问题问我」
→ 一定要问！问团队、问成长、问期待。

收藏起来，面试前再看一遍。💎",#求职干货 #面试技巧 #简历模板 #面试 #简历 #职场干货 #谈薪 #马来西亚求职 #DNJ,"slide-1.png, slide-2.png, slide-3.png, slide-4.png, slide-5.png, slide-6.png",6,queued,,posts/day29,2026-05-28T10:55:06
hot1,2026-05-26,07:26,图文,干货,DNJ 被低估的天赋,应届生必看｜投100份0回复，错在这3点,投100份简历｜0回复｜错在这3点,"应届生海投100份还是0回复？大概率不是你不行，是这3点没做对👇（先收藏）

① 一份简历投所有岗位
　每个岗位关键词不一样，至少改前3行，对齐这个岗位。
② 只写「做过什么」，不写「做成什么」
　「负责社媒」❌ →「3个月把粉丝做到1万」✅，用数字说话。
③ 海投＝碰运气
　与其投100份等回音，不如让 AI 帮你精准匹配最适合的几个，把力气花在对的岗位上。

求职是场信息战，不是体力活。
关注我，下一个被看见的就是你 💎",#应届生求职 #马来西亚求职 #大马打工人 #简历 #找工作 #求职干货 #海投 #DNJ,cover-hot1.png,1,live,,posts/hot1,2026-05-26T07:28:19
hot10,2026-05-26,08:05,图文,干货,DNJ 被低估的天赋,面试反问环节｜这样问直接加分（附清单）,面试反问｜这样问加分,"面试最后「你有什么想问我的吗？」——千万别说「没有了」，这是送分题。👇（附清单，先收藏）

高分反问：
①「这个岗位，3个月内最希望我做出什么成果？」
②「团队现在最大的挑战是什么？」
③「在这里做得好的人，通常有什么特质？」

既显得你有备而来，又帮你反向考察这家值不值得去。
你不是去求一份工，是去找一个值得你发光的地方。
关注我，下一个被看见的就是你 💎",#面试 #面试技巧 #面试问题 #马来西亚求职 #求职干货 #职场 #应届生 #DNJ,cover-hot10.png,1,live,,posts/hot10,2026-05-26T07:58:16
hot3,2026-05-26,08:15,图文,干货,DNJ 被低估的天赋,简历改1处，HR多看你6秒（附模板）,简历改1处｜HR多看你6秒,"HR 看一份简历平均只有6秒。想让他多停留？改这1处最快👇（附模板，先收藏）

把「职责」改成「成果」：
❌ 负责社媒运营
✅ 3个月把粉丝从0做到1万，互动率提升3倍

❌ 负责客户服务
✅ 把客户满意度从80%提到95%

公司不关心你做过什么，关心你做成过什么。
改完简历，再让 AI 帮你匹配对的岗位，效率翻倍。
关注我，下一个被看见的就是你 💎",#简历 #简历模板 #马来西亚求职 #面试技巧 #求职干货 #找工作 #应届生 #DNJ,cover-hot3.png,1,live,,posts/hot3,2026-05-26T22:57:23
hot5,2026-05-26,07:55,图文,干货,DNJ 被低估的天赋,谈薪别先报数字｜5步谈出你该得的,谈薪｜别先报数字｜5步谈出你该得的,"谈薪不是开口要钱，是有策略的。照这5步走👇（先收藏）

1️⃣ 做功课：查同岗位市场价（行业+城市+年限）
2️⃣ 让对方先开口：「想先了解这个岗位的预算区间」
3️⃣ 用价值还价：不是「我想要更多」，是「基于我能带来的___」
4️⃣ 谈整个 package（最多人漏）：底薪之外还有花红、津贴、年假、远程、成长
5️⃣ 白纸黑字：谈好的写进 offer letter 再签

会谈的人不一定贪，但一定懂自己的价值。
关注我，下次谈薪不再吃亏 💎",#谈薪 #薪水 #马来西亚求职 #职场干货 #求职干货 #打工人 #面试技巧 #DNJ,cover-hot5.png,1,live,,posts/hot5,2026-05-26T07:58:16
hot6,2026-05-27,,图文,励志,DNJ 被低估的天赋,CGPA普通≠你不行｜被低估的人后来怎样了,CGPA普通｜≠你不行,"成绩好，不代表混得好；成绩普通，也不代表你不行。

我见过太多 CGPA 平平的人，后来比谁都拼、比谁都猛。
一张成绩单，量不出一个人的饿劲和韧性。

别让一个数字，定义你的天花板。
你不是不够好，你只是还没被放到对的位置。
关注我，被低估的人，会一个一个被看见。💎",#应届生 #CGPA #马来西亚求职 #职场 #被低估的天赋 #成长 #打工人 #DNJ,"account-frozen-notice.png, cover-hot6.png",2,live,,posts/hot6,2026-05-28T10:33:49
